,Gruppe,Navn,Svind,kJ,"kcal",Nitrogen-til-protein faktor,"Nitrogen, total","Protein","Protein, deklaration","Kulhydrat, difference ","Kulhydrat, tilgængelig","Kulhydrat",Sukker,Kostfibre,"Fedt",FCF,Alkohol,Aske,Tørstof,Vand,A-vitamin,Retinol,beta-caroten,D-vitamin,D3-vitamin,D2 ergocalciferol,25-hydroxy D3-vitamin,25-hydroxyergocalciferol,E-vitamin,alfa-tokoferol,gamma-tokoferol,delta-tokoferol,alfa-tokotrienol,K1-vitamin,B1-vitamin,thiamin,"B2-vitamin, riboflavin",Niacinækvivalent,Niacin,B6-vitamin,Pantothensyre,Biotin,Folat,Frit folat,B12-vitamin,C-vitamin,L-ascorbinsyre,L-dehydroascorbinsyre,"Svovl, S","Chlorid, Cl","Natrium, Na","Kalium, K","Calcium, Ca","Magnesium, Mg","Fosfor, P","Jern, Fe","Kobber, Cu","Zink, Zn","Jod, I","Mangan, Mn","Chrom, Cr","Selen, Se","Molybdæn, Mo","Cobolt, Co","Nikkel, Ni","Fluor, F","Silicium, Si","Rubidium, Rb","Aluminium, Al","Bor, B","Brom, Br","Kviksølv, Hg","Arsen, As",Arsen uorganisk,"Cadmium, Cd","Bly, Pb","Tin, Sn",L-mælkesyre,D-mælkesyre,"Mælkesyre, total",Citronsyre,Oxalsyre,Æblesyre,Benzoesyre,"Organiske syrer, tot.",Histamin,Tyramin,Phenylethylamin,Putrescin,Cadaverin,Spermin,Spermidin,Serotonin,Fruktose,Galaktose,Glukose,"Monosaccharider, total",Laktose,Maltose,Sakkarose,"Disaccharider, total",Raffinose,Andre sukkerarter,"Sukkerarter, ialt",Sorbitol,Inositol,Maltitol,"Sukkeralkoholer, total",Stivelse,IDF,SDFP,SDFS,Hexose,Pentose,Uronic Acid,Cellulose,Lignin,Crude fibre,Neutr.Det.Fibre (NDF),C4:0,C6:0,C8:0,C10:0,C12:0,C13:0,C14:0,C15:0,C16:0,C17:0,C18:0,C20:0,C21:0,C22:0,C23:0,C24:0,Andre mættede fedtsyrer,"C12:1,n-1","C14:1,n-5",C15:1,"C16:1,n-7","C17:1,n-7","C18:1,n-9","C18:1,n-7","C20:1,n-9","C20:1,n-11","C22:1,n-9","C22:1,n-11","C24:1,n-9",Andre monoumættede fedtsyrer,"C18:2,n-6","C18:2,conjugerede","C18:3,n-3 (ALA)","C18:3,n-6","C18:4,n-3","C20:2,n-6","C22:2,n-6","C22:4,n-6","C22:5,n-6","C20:3,n-3","C20:4,n-3","C20:3,n-6","C20:4,n-6","C20:5,n-3 (EPA)","C22:5,n-3","C22:6,n-3 (DHA)",Andre polyumættede,"C14:1,trans","C16:1,trans","C18:1,trans","C20:1,trans","C22:1,trans","C18:2,trans",Andre fedtsyrer,Sum mættede,Sum monoumættede,Sum polyumættede,"Transfedtsyrer, total","Fedtsyrer, total",Sum n-3 fedtsyrer,Sum n-6 fedtsyrer,Cholesterol,Isoleucin,Leucin,Lysin,Methionin,Cystin,Phenylalanin,Tyrosin,Threonin,Tryptofan,Valin,Arginin,Histidin,Alanin,Asparaginsyre,Glutaminsyre,Glycin,Prolin,Hydroxyprolin,Serin,Massefylde
Nummer,gruppe,Navn,%,kJ,kcal,-,g,g,g,g,g,g,g,g,g,-,g,g,g,g,RE,µg,µg,µg,µg,µg,µg,µg,α-TE,mg,mg,mg,mg,µg,mg,mg,mg,NE,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,mg,µg,µg,µg,µg,µg,µg,mg,µg,mg,µg,µg,µg,µg,µg,µg,µg,µg,g,g,g,g,mg,mg,mg,g,mg,mg,mg,mg,mg,mg,mg,mg,g,g,g,g,g,g,g,g,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,g,mg,g/l
1,Bærfrugt,"Jordbær, rå",4,162,38,6.25,0.106,0.7,0.7,8.3,6.9,6.1,0,1.5,0.6,0.8,0,0.4,10,90,3.33,0,40,0,0,iv,iv,iv,0.414,0.414,iv,iv,iv,20,0.0145,iv,0.0111,0.571,0.434,0.0455,0.129,0.701,117,15,0,66.9,64.8,2.05,iv,iv,0.508,179,18.5,12.5,23.8,0.255,0.0383,0.104,0.0503,0.342,0.069,0.18,0,iv,3.51,iv,iv,iv,iv,iv,iv,0.002,0.303,iv,0.591,0.314,iv,iv,iv,iv,iv,iv,iv,0.03,iv,0.01,0,iv,iv,iv,iv,iv,0.003,3.16,iv,2.85,6.01,iv,iv,0.0563,0.0563,iv,iv,6.07,0,iv,iv,0,0,iv,iv,iv,0.22,0.28,0.63,0.59,0.39,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.05,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.083,iv,iv,iv,iv,iv,iv,iv,0.182,iv,0.166,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.05,0.083,0.348,iv,0.48,0.166,0.182,0,24,39,35,10,4,22,11,22,8,29,40,12,31,96,90,25,23,iv,30,iv
2,Kernefrugt,"Æble, uspec., råt",10,233,55,6.25,0.043,0.3,0.3,14.3,12.1,10.9,0,2.2,0.2,0.8,0,0.3,15.1,84.9,2.08,0,25,0,0,iv,iv,iv,0.254,0.254,iv,iv,iv,3,0.0131,iv,0.00823,0.166,0.123,0.046,0.0723,0.996,9,3,0,8.26,7.76,0.503,iv,iv,0.601,118,4.13,4.49,9.52,0.121,0.031,0.0242,0.0978,0.0599,0.111,0.0052,0,iv,0.516,iv,iv,iv,iv,iv,iv,0.000867,0.0276,iv,0.0249,0.149,iv,iv,iv,iv,iv,iv,iv,0.03,iv,0.01,0,iv,iv,iv,0.222,9.86,0.003,6.05,iv,1.76,7.8,0,0,3.09,3.09,iv,iv,10.9,0.436,iv,iv,0.436,0,iv,iv,iv,0.12,0.25,0.49,0.76,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.038,iv,0.007,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.007,iv,iv,iv,iv,iv,iv,iv,0.103,iv,0.028,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.045,0.007,0.131,iv,0.183,0.028,0.103,0,9,14,13,3,1,7,4,8,3,10,6,4,11,78,22,8,8,iv,11,iv
3,Sydfrugt,"Banan, rå",41,396,93,6.25,0.183,1.1,1.1,22.6,21,19.7,0,1.6,0.2,0.73,0,0.7,24.6,75.3,4.42,0,53,0,0,iv,iv,iv,0.27,0.27,iv,iv,iv,0.5,0.0399,iv,0.0141,0.765,0.595,0.305,0.258,1.57,38,12,0,11.2,8.11,3.09,iv,iv,0,348,6.62,28.1,25.6,0.251,0.106,0.167,0.0477,0.459,0,0.352,iv,iv,4.08,iv,iv,iv,iv,iv,iv,0.0089,0.0208,iv,0.0136,0.0827,iv,iv,iv,iv,iv,iv,iv,0.03,iv,0.01,0.21,iv,iv,iv,iv,iv,1.5,7.01,0,6.92,13.9,0,0.01,1.43,1.44,iv,iv,15.4,0.0143,iv,iv,0.0143,4.32,iv,iv,iv,0.58,0.23,0.28,0.37,0.27,iv,iv,0,0,0,0,0,iv,0,iv,0.07,0,0.012,0,iv,0,iv,0,iv,iv,0,iv,0.011,iv,0.032,0,iv,0,0,0,0,iv,0.025,iv,0,iv,0,0,iv,iv,iv,0,iv,0,iv,0,0,0,iv,iv,iv,iv,iv,iv,iv,0,0.082,0.043,0.025,iv,0.15,0,0.025,0,35,89,51,10,3,35,20,33,10,53,49,84,35,117,106,37,38,iv,53,iv
4,Rod- og knoldgrøntsager,"Kartoffel, uspec., rå",25,326,77,6.25,0.324,2,2,17.3,15.9,17.9,0,1.4,0.3,0.8,0,0.9,20.5,79.5,0.833,0,10,0,0,iv,iv,iv,0.1,0.1,iv,iv,iv,16,0.0553,iv,0.0625,2.11,1.6,0.2,0.38,0.47,36,10,0,26.4,23.4,3,iv,iv,7,414,6.76,20.4,55.3,1.03,0.052,0.3,1.2,0.23,0.6,0.268,0,iv,5.75,iv,iv,iv,iv,iv,iv,0.28,1.39,iv,2.07,0.813,iv,iv,iv,iv,iv,iv,iv,0.03,iv,iv,0.1,iv,iv,iv,iv,iv,0.003,0.24,iv,0.34,0.58,0,0,0.66,0.66,0.06,0,1.24,iv,iv,iv,iv,16.7,iv,iv,iv,0.93,0.26,0.46,0.89,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.046,iv,0.01,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.005,iv,0.01,iv,iv,iv,iv,iv,iv,iv,0.07,iv,0.093,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.056,0.014,0.162,iv,0.233,0.093,0.07,0,75,110,117,28,17,81,39,68,31,120,84,36,71,428,269,58,71,iv,71,iv
5,Bærfrugt,"Hindbær, rå",0,215,51,6.25,0.219,1.4,1.4,10.6,6.2,4,0,4.4,1.3,0.8,0,0.5,13.8,86.2,3.5,0,42,0,0,iv,iv,iv,1.4,1.4,iv,iv,iv,iv,0.03,iv,0.05,0.752,0.5,0.09,0.24,1.9,44,15,0,24,24,iv,iv,iv,2,228,19.7,17,38,0.55,0.105,0.34,0.4,1.2,0.8,0.189,0,iv,17.9,iv,iv,iv,iv,iv,iv,0.025,0.41,iv,1.12,0.8,iv,iv,iv,iv,iv,iv,iv,2.5,iv,iv,4.82,iv,iv,iv,iv,iv,0.003,2.15,iv,1.85,4,iv,0,0.05,0.05,iv,iv,4.05,0,iv,iv,0,0,iv,iv,iv,0.37,0.83,0.67,2,2.67,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.088,iv,0.015,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.104,iv,iv,iv,iv,iv,iv,iv,0.472,iv,0.401,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.104,0.104,0.873,iv,1.08,0.401,0.472,0,iv,iv,iv,iv,iv,iv,iv,iv,15,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
6,Usyrnede mælkeprodukter,"Sødmælk, konventionel (ikke-økologisk)",0,264,63,6.38,0.536,3.4,3.4,4.6,4.6,4.6,0,0,3.5,0.945,0,0.8,12.3,87.7,31.7,30.4,16,0.0659,0.00918,0.00345,0.00753,0.00313,0.06,0.06,iv,iv,iv,0,0.0415,iv,0.172,0.856,0.0871,0.046,0.359,1.55,11,4,0.446,1.2,1.2,iv,iv,93.1,44.3,144,116,11,92.7,0.016,0.0106,0.415,10.7,0.00171,0.05,1.64,5,iv,0.705,iv,iv,iv,iv,iv,iv,0.03,0.3,iv,0.002,0.089,iv,iv,iv,iv,0.193,iv,iv,0.045,0.193,0.01,0,iv,iv,iv,iv,iv,0.03,0,0,0,0,4.6,0,0,4.6,iv,iv,4.6,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,0.129,0.087,0.048,0.102,0.126,iv,0.369,0.037,1.001,iv,0.347,iv,iv,iv,iv,iv,iv,iv,0.034,iv,0.054,iv,0.665,0.031,iv,iv,iv,iv,iv,iv,0.048,0.011,0.014,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.107,iv,iv,0.025,0.047,2.246,0.784,0.073,0.132,3.282,0.014,0.048,13,198,327,306,86,26,172,145,145,46,236,118,97,113,279,681,70,333,iv,193,iv
8,Krydderurter,"Persille, rå",34,201,48,6.25,0.594,3.7,3.7,7.8,3.7,1.2,0,4.1,1.1,0.8,0,2.1,14.8,85.2,474,0,5690,0,0,iv,iv,iv,2.7,2.7,iv,iv,iv,790,0.12,iv,0.3,2.64,1.7,0.2,0.3,0.4,116,41,0,308,308,iv,iv,iv,64,641,185,29,72,3.6,0.09,0.46,13.5,2.7,7,0.1,10,iv,50,iv,iv,iv,iv,iv,iv,1.5,3,iv,3,19,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.3,iv,0.5,0.8,0,0,0,0,iv,iv,0.8,iv,iv,iv,iv,0.43,iv,iv,iv,0.89,0.89,0.28,1.63,0.59,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.155,iv,0.007,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.027,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.274,iv,0.457,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.162,0.027,0.731,iv,0.92,0.457,0.274,0,149,255,226,52,18,178,101,154,56,214,154,77,244,368,309,178,267,iv,172,iv
9,Kernefrugt,"Pære, rå",9,207,49,6.25,0.049,0.3,0.3,14.4,11.1,8.3,0,3.2,0.1,0.8,0,0.3,15,85,5.42,0,65,0,0,iv,iv,iv,0.58,0.58,iv,iv,iv,iv,0.00971,iv,0.00857,0.282,0.23,0.01,0.0518,0.447,16,4,0,6.06,5.26,0.8,iv,iv,0.778,122,10.1,6.46,11.2,0.103,0.065,0.112,0.165,0.0523,0.0231,0.1,0,iv,8.5,iv,iv,iv,iv,iv,iv,0.0103,0.467,iv,0.479,0.164,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.01,0,iv,iv,iv,iv,iv,0.003,5.97,iv,1.67,7.64,0,0,0.688,0.688,iv,iv,8.33,2.24,iv,iv,2.24,0,iv,iv,iv,0.33,0.63,0.33,0.63,0.4,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.01,iv,0.002,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.001,iv,0.007,iv,iv,iv,iv,iv,iv,iv,0.025,iv,0.008,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.012,0.008,0.033,iv,0.053,0.008,0.025,0,12,20,20,3,2,12,5,11,3,15,9,6,14,57,31,12,28,iv,15,iv
10,Blad- og stængelgrøntsager,"Rabarber, rå",38,108,26,6.25,0.144,0.9,0.9,6.8,3,1.9,0,3.8,0.3,0.8,0,1.5,9.5,90.5,9.83,0,118,0,0,iv,iv,iv,0.35,0.35,iv,iv,iv,iv,0.03,iv,0.03,0.43,0.25,0.04,0.085,iv,7,9,0,13,13,iv,iv,iv,3,280,115,12,24.2,0.3,0.056,0.23,0.3,0.17,0.6,0.371,0,iv,7.17,iv,iv,iv,iv,iv,iv,0.05,0.06,iv,1.69,1.2,iv,iv,iv,iv,iv,iv,iv,0.03,iv,iv,0,iv,iv,iv,iv,iv,iv,0.75,iv,0.89,1.64,0,0,0,0,iv,iv,1.64,iv,iv,iv,iv,0.22,iv,iv,iv,0.81,0.35,0.6,1.31,0.12,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.057,iv,0.007,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.016,iv,iv,iv,iv,iv,iv,iv,0.121,iv,0.039,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.064,0.016,0.16,iv,0.24,0.039,0.121,0,27,39,40,11,1,26,17,22,11,42,33,19,29,46,76,27,24,iv,27,iv
