English,Danish,Latin
Carpus,Mellemhåndsknogler,Carpus
Clavicle,Kraveben,Clavicle
Collar bone – clavicle,Kraveben,Collar bone – clavicle
Eye socket – orbit,Øjenhule,Eye socket – orbit
False rib,Falske ribben,False rib
Femur,Lårbensknogle,Femur
Fibula,Lægbenet,Fibula
Floating ribs,Flydende ribben,Floating ribs
Frontal bone,Pandeben,Frontal bone
Humerus,Overarmsknogle,Humerus
Ilium,Tarmbenet,Ilium
Lower jaw – mandible,Underkæbe,Lower jaw – mandible
Metacarpus,Håndrodsknogler,Metacarpus
Metatarsus,Mellemfodsknogle,Metatarsus
Neck – cervical vertebra,Ryghvivler,Neck – cervical vertebra
Occipital bone,Nakkeben,Occipital bone
Patella,Knæskal,Patella
Pelvis,Bækken,Pelvis
Phalanx,Fingerknogler,Phalanx
Phalanx,Tåknogler,Phalanx
Radius,Underarmsknogle,Radius
Ribs,Ribben,Ribs
Sacrum,Korsbenet,Sacrum
Scapula,Skulderblad,Scapula
Shoulder blade – scapula,Skulderblad,Shoulder blade – scapula
Spine – vertebral column,Rygrad,Spine – vertebral column
Sternum,Brystben,Sternum
Talus,Fodgaflen,Talus
Tarsus,Ankel,Tarsus
Temporal bone,Tindingeben,Temporal bone
Tibia,Skinneben,Tibia
Upper jaw – maxilla,Overkæbe,Upper jaw – maxilla
Ulna,Underarmsknogle,Ulna
Vertebral column,Halshvivler,Vertebral column
