Landsdel,By,Butik,Adresse,Postnr,Postby,Telefon,Email,Hjemmeside
Jylland,Aalborg,Løberen,Vesterbro 89,9000,Aalborg,98164148,aalborg@loberen.dk,
Jylland,Aalborg,Runners Lab,Urbansgade 26,9000,Aalborg,20687777,dorte@runnerslab.dk,
Jylland,Århus,Løberen,Vester Allé 20,8000,Aarhus,86124148,aarhus@loberen.dk,
Jylland,Vejle,Løberen,Vestergade 17,7100,Vejle,75720900,vejle@loberen.dk,
Jylland,Esbjerg,Løberen,Borgergade 56,6700,Esbjerg,75144148,esbjerg@loberen.dk,
Sjælland,København,Løberen,Nørre Farimagsgade 65,1364,København K,53774148,kobenhavn@loberen.dk,
Sjælland,København,Marathon Sport,Åboulevard 1,1635,København V,35383900,webshop@marathonsport.dk,
Sjælland,København,Marathon Sport,Østerbrogade 19,2100,København Ø,35383900,webshop@marathonsport.dk,
Sjælland,København,Runners Lab,Trianglen 3,2100,København Ø,35424230,kasper@runnerslab.dk,
Sjælland,Køge,Run4all,Kirkestræde 19B,4600,Køge,40141002,,
