Hovedkategori,Aktivitetskode,MET-værdi,Aktivitetsbeskrivelse (Dansk)
Cykling,1003,14,"Cykling, mountainbike, op ad bakke, høj intensitet"
Cykling,1004,16,"Cykling, mountainbike, konkurrenceløb"
Cykling,1008,8.5,"Cykling, BMX"
Cykling,1009,8.5,"Cykling, mountainbike, generelt"
Cykling,1010,4,"Cykling, <16 km/t, fritid, til arbejde eller for fornøjelse (Taylor-kode 115)"
Cykling,1011,6.8,"Cykling, til/fra arbejde, selvvalgt tempo"
Cykling,1013,5.8,"Cykling, på grus- eller markvej, moderat tempo"
Cykling,1014,7,"Cykling, generelt"
Cykling,1015,4.3,"Cykling, selvvalgt roligt tempo"
Cykling,1016,7,"Cykling, selvvalgt moderat tempo"
Cykling,1017,9,"Cykling, selvvalgt højt tempo"
Cykling,1018,3.5,"Cykling, fritid, 9 km/t"
Cykling,1019,5.8,"Cykling, fritid, 15 km/t"
Cykling,1020,6.8,"Cykling, 16-19 km/t, fritid, langsomt, let indsats"
Cykling,1030,8,"Cykling, 19-22 km/t, fritid, moderat indsats"
Cykling,1040,10,"Cykling, 22-25 km/t, løb eller fritid, hurtigt, hård indsats"
Cykling,1050,12,"Cykling, 25-30 km/t, løb/uden læ eller >30 km/t i læ, meget hurtigt, løb generelt"
Cykling,1060,16.8,"Cykling, >32 km/t, løb, uden læ"
Cykling,1065,8.5,"Cykling, 19 km/t, siddende, hænder på bremsegreb eller i bøjlen, 80 omdr./min"
Cykling,1066,9,"Cykling, 19 km/t, stående, hænder på bremsegreb, 60 omdr./min"
Cykling,1070,5,Et-hjulet cykling
Cykling,1080,6.8,"Elcykel, uden motorhjælp"
Cykling,1084,6,"Elcykel, med let motorhjælp"
Cykling,1088,4,"Elcykel, med kraftig motorhjælp"
Cykling,1200,6.8,"Cykling, kondicykel, generelt"
Cykling,1210,3.5,"Cykling, kondicykel, 25-30 watt, meget let til let indsats"
Cykling,1214,4,"Cykling, kondicykel, 50 watt, let indsats"
Cykling,1216,5,"Cykling, kondicykel, 60 watt, let til moderat indsats"
Cykling,1218,5.8,"Cykling, kondicykel, 70-80 watt"
Cykling,1220,6,"Cykling, kondicykel, 90-100 watt, moderat til hård indsats"
Cykling,1224,6.8,"Cykling, kondicykel, 101-125 watt"
Cykling,1228,8,"Cykling, kondicykel, 126-150 watt"
Cykling,1232,10.3,"Cykling, kondicykel, 151-199 watt"
Cykling,1236,10.8,"Cykling, kondicykel, 200-229 watt, hård indsats"
Cykling,1240,12.5,"Cykling, kondicykel, 230-250 watt, meget hård indsats"
Cykling,1244,13.8,"Cykling, kondicykel, 270-305 watt, meget hård indsats"
Cykling,1248,16.3,"Cykling, kondicykel, >325 watt, meget hård indsats"
Cykling,1252,5.5,"Cykling, kun koncentrisk, 100 W"
Cykling,1254,11,"Cykling, kun koncentrisk, 200 W"
Cykling,1262,2.3,"Cykling, kun excentrisk, 100 til 149 W"
Cykling,1264,4,"Cykling, kun excentrisk, 200 W"
Cykling,1270,9,"Cykling, kondicykel, RPM/spinninghold"
Cykling,1290,8.8,"Cykling, interaktiv virtuel cykling, indendørs cykelergometer"
Cykling,1305,8.8,"Cykling, højintensiv intervaltræning (HIIT)"
Kondition og styrketræning,2000,7.3,"Aerobic, generelt"
Kondition og styrketræning,2001,5.5,"Step-aerobic, 10 cm trin"
Kondition og styrketræning,2002,7.3,"Step-aerobic, 15-20 cm trin"
Kondition og styrketræning,2003,9,"Step-aerobic, 25-30 cm trin"
