Weightclass,Name,Weight,Date,Federation,Gender,Bodyweight,Wilksscore,IPFGL,IPFPoints,Bwratio,Wilkscoefficient
52,Andrzej Stanaszek,290,2002-05-09,EPF,Male,50,"296,7","38,71270405","389,419629","5,8","1,023165216"
56,Andrzej Stanaszek,"292,5",2003-03-22,BVDK,Male,56,"266,3","36,95816557","350,6307404","5,2","0,9103482729"
60,Michael Kuhns,"250,5",2022-04-08,RAW,Male,60,"213,6","30,64516463","268,7819368","4,2","0,8528742366"
"67,5",Jonathan Garcia,271,2022-06-06,IPF,Male,"67,5","208,9","31,44693396","266,707121","4,0","0,7710157631"
75,Taylor Atwood,303,2021-06-14,USAPL,Male,75,"215,9","33,63030769","281,6426206","4,0","0,7125604734"
"82,5",Russel Orhii,"320,5",2022-06-08,USAPL,Male,"82,5","214,7","34,25502629","280,4632551","3,9","0,669906527"
90,Jesse Norris,"340,2",2014-12-13,USAPL,Male,90,"217,2","35,20773108","283,530639","3,8","0,6383940764"
100,Ashton Rouska,363,2021-02-27,USAPL,Male,100,"220,9","36,23993281","285,7807677","3,6","0,6085890719"
110,Kirk Karwoski,375,2004-12-01,AAU,Male,110,"220,7","36,34832084","279,2360982","3,4","0,5884932152"
125,Dennis Cornelius,"392,5",2016-10-13,USAPL,Male,125,"223,7","36,73683429","272,6860285","3,1","0,5698448578"
140,Dennis Cornelius,405,2018-07-21,USAPL,Male,140,"226,3","36,91519534","264,9211888","2,9","0,5588066764"
140+,Ray Williams,490,2019-03-02,USAPL,Male,160,"268,6","43,52211406","313,8821738","3,1","0,548209777"
44,Tiffany Chapon,"122,5",2021-02-13,FFForce,Female,44,"172,5","36,36628384","219,2066148","2,8","1,408070651"
48,Tiffany Chapon,"160,5",2022-06-06,IPF,Female,47,"215,9","44,49088963","297,6102795","3,4","1,344896149"
52,Pleun Dekkers,"168,5",2022-06-06,IPF,Female,52,"210,1","42,54755603","302,4756464","3,2","1,246636989"
56,Maria Htee,"177,5",2021-09-23,IPF,Female,56,"208,8","42,19910495","311,6419266","3,2","1,176605106"
60,Maria Htee,"185,5",2019-03-04,CPU,Female,60,"206,8","41,93044687","318,7075887","3,1","1,114886875"
"67,5",Prescillia Bavoil,213,2022-09-23,IPF,Female,"67,5","217,4","44,68068435","353,0678132","3,2","1,020621418"
75,Vilma Olsson,211,2022-03-24,SSF,Female,75,"200,6","41,86341044","337,25459","2,8","0,9506406561"
"82,5",Amanda Lawrence #1,220,2018-03-02,USAPL,Female,"82,5","198,0","41,84542486","340,959967","2,7","0,8999693237"
90,Amanda Lawrence #1,256,2020-11-21,USAPL,Female,90,"221,2","47,1429382","384,577815","2,8","0,8640642837"
90+,Bonica Brown,276,2021-06-14,USAPL,Female,110,"224,4","48,10486168","388,3999787","2,5","0,8130673462"
