Sportsgren,Kategori,Form,Sted,Beskrivelse,Medlem2017,Medlem2018,Fans
Tennis,Bold- og ketchersport,Både hold og individuel,Begge,"ketchersport med spil over net, ketcher og tennisbold, single, double",,58146,1000
Fodbold,Bold- og ketchersport,Hold,Udendørs,"boldspil, sport, findes også som motionsfodbold med mindre hold",,329922,4000
Hockey,Bold- og ketchersport,Hold,Begge,"idræt, holdspil med stave og puck",824,,2000
Volleyball,Bold- og ketchersport,Hold,Indendørs,"boldspil, sport, to hold med seks på hver, indendørs i hal",,,900
Bordtennis,Bold- og ketchersport,Både hold og individuel,Indendørs,"batsport, hurtig, konditionskrævende, flere klasser",,,875
Basket ball,Bold- og ketchersport,Hold,Indendørs,"boldspil, sport, for hold, med relativt stor bold og kurv",,,825
Baseball,Bold- og ketchersport,Hold,Udendørs,"sport, med bat og læderbold, minder om rundbold, for hold",,,500
Rugby,Bold- og ketchersport,Hold,Udendørs,"boldspil, sport, fysisk hårdt, men også teknisk krævende spil",,,475
Golf,Præcision og spil,Individuel,Udendørs,"sport med køller/jern/driver og golfbold, udholdhende, power og teknik",,148135,450
Aerobic,"Løb, fitness og styrke",Både hold og individuel,Indendørs,"konditionstræning, i foreninger/centre, international gymnastik sport",,,
Aqua fitness,Vandsport,Både hold og individuel,Indendørs,"motion i vand: Vandaerobic, aqua gym (udstyr) og aqua jogging",,,
Aikido,Kampsport og selvforsvar,Individuel,Indendørs,kampsport / kampkunst – defensiv/ikke aggresiv,,,
Alpin skiløb,Vintersport og is,Individuel,Udendørs,"ski sport og motion, forskellige discipliner (og skityper) (downhill)",,,
Amerikansk fodbold,Bold- og ketchersport,Hold,Udendørs,"boldspil med hård læderbold, fysisk krævende, for hold",,,
Atletik,"Løb, fitness og styrke",Individuel,Udendørs,"sport, mange discipliner, løb, hop, kast, stød",,39684,
Australsk fodbold,Bold- og ketchersport,Hold,Udendørs,"boldspil, 18 spillere, krævende blandingsspil, for hold",,,
Badminton,Bold- og ketchersport,Både hold og individuel,Indendørs,"ketchersport, spil over net, let ketcher/fjerbold, single/double",,92307,
